,the_date,avgTemp,precipitation,avgWindSpeed,avghumidity,maxtemp,mintemp,maxwind,minwind,dir,avgF,MaxF,minF
50,2/19/2016,-2.21,0.254,2.428993056,79.21729167,0.91,-11.09,4.693,0.477,191.9556806,28.02,33.64,12.04
51,2/20/2016,8.08,2.032,2.213284722,89.87534722,14.4,1.112,4.224,0.628,220.4722222,46.54,57.92,34
52,2/21/2016,4.51,0,1.703465278,87.69701389,9.48,-0.2,4.121,0.297,284.6595556,40.12,49.06,31.64
53,2/22/2016,0.33,0,1.590652778,65.96430556,5.545,-5.578,3.139,0.441,238.7669653,32.59,41.98,21.96
54,2/23/2016,-0.8,5.334,1.586430556,77.24826389,3.314,-5.607,2.429,0.677,80.70627083,30.56,37.97,21.91
55,2/24/2016,3.39,70.612,2.2041875,100,14.48,-0.664,4.793,0.461,245.5604861,38.1,58.06,30.8
56,2/25/2016,6,0.508,3.225180556,99.96111111,13.15,-2.758,5.933,0.585,250.5201389,42.8,55.67,27.04
57,2/26/2016,-4.52,0,2.768777778,71.10548611,-0.334,-7.86,5.142,0.553,304.3958958,23.86,31.4,17.85
58,2/27/2016,-0.94,0,1.811618056,77.49493056,3.134,-8.68,3.583,0.229,214.0562708,30.31,37.64,16.38
59,2/28/2016,5.63,0,2.376090278,73.67833333,13.41,-1.266,3.528,1.191,208.6083333,42.13,56.14,29.72
60,2/29/2016,4.72,0.508,2.623104167,71.23722222,9.81,-3.011,8.28,0.384,249.2225417,40.5,49.66,26.58
61,3/1/2016,0.73,11.43,1.583194444,46.10444444,4.195,-5.185,3.389,0.211,210.7363403,33.31,39.55,22.67
62,3/2/2016,-2.97,5.588,3.393798611,84.66402778,4.629,-8.32,7.349,0.61,296.2798611,26.65,40.33,17.02
63,3/3/2016,-4.93,0,1.868291667,63.63145833,0.216,-8.5,4.357,0.156,281.7531667,23.13,32.39,16.7
64,3/4/2016,-3.38,0.254,1.938597222,89.32736111,1.08,-6.941,3.065,0.668,94.52304861,25.92,33.94,19.51
65,3/5/2016,-1.89,0,1.400340278,54.61388889,2.973,-7.522,3.737,0.296,144.1525833,28.6,37.35,18.46
66,3/6/2016,0.57,0,1.275770833,46.04243056,7.077,-4.37,2.688,0.237,173.5675833,33.03,44.74,24.13
67,3/7/2016,5.68,0,1.616770833,58.74694444,11.22,-2.541,4.426,0.17,234.1731458,42.22,52.2,27.43
68,3/8/2016,8.61,0,1.552777778,70.36833333,14.55,2.6,2.69,0.38,167.4338333,47.5,58.19,36.68
69,3/9/2016,16.32,0,1.737715278,54.17541667,25.38,3.23,3.8,0.159,205.7168056,61.38,77.68,37.81
70,3/10/2016,14.61,3.81,1.2215625,88.45701389,18.9,10.67,2.779,0,230.3359653,58.3,66.02,51.21
71,3/11/2016,7.53,0,2.088340278,92.15826389,13.2,-0.007,4.098,0.613,307.3532431,45.55,55.76,31.99
72,3/12/2016,9.87,0,1.747020833,57.29569444,16.87,-1.26,3.507,0.403,228.5469444,49.77,62.37,29.73
73,3/13/2016,11.29,0,1.895708333,34.97006944,17.75,5.371,4.215,0.482,104.9835278,52.32,63.95,41.67
74,3/14/2016,1.98,18.542,1.881555556,93.63152778,4.898,1.247,3.383,0.886,67.97599306,35.56,40.82,34.24
75,3/15/2016,4.93,3.81,2.161555556,100,6.927,2.196,3.558,0.942,190.1646736,40.87,44.47,35.95
76,3/16/2016,9.61,7.874,1.562034722,99.24027778,16.04,2.89,3.942,0,161.4667014,49.3,60.87,37.2
